epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,2.0883,1.9928,0.0678,0.1270,0.0685,0.8687,2.09e-05,35,0.0647,0.0630,0.0770,0.0759,0.0579
2,1.9000,1.8336,0.0777,0.1441,0.0782,0.9199,5.63e-05,33,0.0791,0.0705,0.0851,0.0862,0.0659
3,1.7414,1.7036,0.0927,0.1696,0.0934,0.9236,1.05e-04,33,0.0967,0.0845,0.1003,0.1016,0.0780
4,1.6456,1.6340,0.1075,0.1941,0.1085,0.9226,1.53e-04,35,0.1165,0.0969,0.1187,0.1205,0.0837
5,1.5801,1.5699,0.1496,0.2602,0.1523,0.8950,1.88e-04,35,0.1702,0.1365,0.1677,0.1673,0.1071
6,1.5203,1.5159,0.1571,0.2715,0.1598,0.9020,2.00e-04,33,0.1807,0.1434,0.1731,0.1781,0.1113
7,1.4623,1.4690,0.1664,0.2853,0.1692,0.9087,2.00e-04,34,0.1924,0.1484,0.1911,0.1863,0.1169
8,1.4117,1.4165,0.1904,0.3199,0.1947,0.8973,1.99e-04,34,0.2194,0.1788,0.2054,0.2054,0.1411
9,1.3586,1.3666,0.2117,0.3494,0.2167,0.9018,1.98e-04,34,0.2485,0.1886,0.2403,0.2390,0.1454
10,1.3175,1.3123,0.2117,0.3494,0.2158,0.9185,1.97e-04,33,0.2506,0.1938,0.2243,0.2359,0.1535
11,1.2711,1.2851,0.2347,0.3801,0.2405,0.9070,1.96e-04,33,0.2840,0.2164,0.2571,0.2590,0.1616
12,1.2289,1.2938,0.2165,0.3560,0.2216,0.9041,1.94e-04,33,0.2625,0.1940,0.2452,0.2501,0.1426
13,1.1863,1.2465,0.2238,0.3658,0.2286,0.9149,1.92e-04,33,0.2804,0.1952,0.2524,0.2511,0.1515
14,1.1474,1.2074,0.2739,0.4300,0.2831,0.8941,1.89e-04,33,0.3348,0.2527,0.3056,0.3025,0.1847
15,1.1134,1.1401,0.2798,0.4372,0.2870,0.9180,1.87e-04,32,0.3433,0.2545,0.3023,0.3080,0.1957
16,1.0755,1.1073,0.2989,0.4603,0.3074,0.9157,1.83e-04,32,0.3583,0.2805,0.3215,0.3263,0.2118
17,1.0518,1.0873,0.3081,0.4711,0.3179,0.9098,1.80e-04,33,0.3764,0.2909,0.3301,0.3386,0.2131
18,1.0179,1.0619,0.3067,0.4694,0.3150,0.9210,1.77e-04,32,0.3807,0.2880,0.3314,0.3437,0.2053
19,0.9887,1.0393,0.3290,0.4951,0.3393,0.9150,1.73e-04,32,0.4097,0.3117,0.3574,0.3616,0.2199
20,0.9584,1.0161,0.3347,0.5015,0.3450,0.9183,1.69e-04,32,0.4154,0.3090,0.3645,0.3690,0.2283
21,0.9235,0.9861,0.3327,0.4993,0.3420,0.9244,1.64e-04,34,0.4166,0.3117,0.3615,0.3692,0.2227
22,0.9053,0.9814,0.3711,0.5413,0.3857,0.9072,1.60e-04,34,0.4585,0.3523,0.4016,0.4026,0.2529
23,0.8882,0.9682,0.3710,0.5412,0.3853,0.9095,1.55e-04,33,0.4488,0.3589,0.3986,0.4026,0.2562
24,0.8658,0.9336,0.3638,0.5336,0.3754,0.9222,1.50e-04,33,0.4480,0.3388,0.3918,0.3982,0.2533
25,0.8443,0.9243,0.3891,0.5602,0.4039,0.9139,1.45e-04,33,0.4635,0.3709,0.4189,0.4245,0.2723
26,0.8310,0.9167,0.3765,0.5470,0.3886,0.9233,1.40e-04,33,0.4773,0.3466,0.4014,0.4178,0.2549
27,0.8082,0.8957,0.3945,0.5658,0.4087,0.9194,1.34e-04,33,0.4889,0.3767,0.4220,0.4291,0.2704
28,0.7902,0.8800,0.4162,0.5878,0.4323,0.9179,1.29e-04,33,0.5180,0.3989,0.4444,0.4479,0.2862
29,0.7809,0.8782,0.3959,0.5673,0.4093,0.9239,1.23e-04,35,0.4937,0.3760,0.4275,0.4342,0.2670
30,0.7585,0.8647,0.4287,0.6002,0.4476,0.9105,1.17e-04,34,0.5117,0.4063,0.4502,0.4557,0.3176
31,0.7451,0.8831,0.3870,0.5580,0.3996,0.9246,1.11e-04,34,0.4808,0.3496,0.4162,0.4216,0.2742
32,0.7362,0.8392,0.4270,0.5985,0.4433,0.9209,1.06e-04,34,0.5178,0.3994,0.4520,0.4580,0.3095
33,0.7183,0.8119,0.4227,0.5943,0.4362,0.9318,9.99e-05,35,0.5247,0.3985,0.4439,0.4594,0.2978
34,0.7137,0.8144,0.4183,0.5899,0.4324,0.9280,9.41e-05,35,0.5115,0.3902,0.4375,0.4496,0.3046
35,0.7028,0.8162,0.4528,0.6233,0.4722,0.9165,8.83e-05,35,0.5544,0.4235,0.4719,0.4825,0.3311
36,0.6883,0.8107,0.4295,0.6009,0.4442,0.9285,8.25e-05,33,0.5392,0.3913,0.4517,0.4660,0.3062
37,0.6807,0.8044,0.4387,0.6099,0.4552,0.9236,7.68e-05,33,0.5361,0.4082,0.4641,0.4726,0.3157
38,0.6737,0.7875,0.4496,0.6203,0.4667,0.9250,7.12e-05,32,0.5476,0.4261,0.4753,0.4812,0.3228
39,0.6662,0.7923,0.4574,0.6277,0.4770,0.9178,6.57e-05,32,0.5559,0.4397,0.4843,0.4845,0.3283
40,0.6514,0.7846,0.4581,0.6283,0.4766,0.9217,6.03e-05,33,0.5611,0.4427,0.4899,0.4891,0.3194
41,0.6470,0.7891,0.4761,0.6450,0.4985,0.9137,5.50e-05,33,0.5655,0.4581,0.4900,0.4983,0.3611
42,0.6383,0.7676,0.4655,0.6352,0.4841,0.9234,4.99e-05,33,0.5577,0.4404,0.4919,0.4990,0.3385
43,0.6290,0.7954,0.4469,0.6178,0.4644,0.9224,4.50e-05,33,0.5544,0.4216,0.4704,0.4762,0.3182
44,0.6254,0.7708,0.4449,0.6158,0.4602,0.9305,4.02e-05,33,0.5491,0.4128,0.4657,0.4773,0.3231
