epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,1.8983,1.7380,0.0968,0.1765,0.0974,0.9436,2.09e-05,128,0.1045,0.0871,0.1065,0.1074,0.0769
2,1.6642,1.6169,0.1341,0.2365,0.1354,0.9324,5.61e-05,126,0.1542,0.1165,0.1494,0.1511,0.0996
3,1.5480,1.4950,0.1800,0.3051,0.1828,0.9229,1.04e-04,128,0.2061,0.1645,0.1962,0.1982,0.1337
4,1.4207,1.3916,0.2016,0.3355,0.2054,0.9152,1.52e-04,126,0.2420,0.1784,0.2219,0.2268,0.1431
5,1.2758,1.2479,0.2757,0.4322,0.2839,0.9054,1.87e-04,127,0.3128,0.2539,0.2955,0.2942,0.2156
6,1.1369,1.1147,0.3100,0.4733,0.3186,0.9195,2.00e-04,126,0.3799,0.2787,0.3262,0.3353,0.2296
7,1.0118,1.0397,0.3311,0.4974,0.3417,0.9140,2.00e-04,127,0.4169,0.2988,0.3502,0.3687,0.2300
8,0.9176,0.9152,0.3786,0.5493,0.3893,0.9322,1.99e-04,127,0.4524,0.3526,0.3999,0.4129,0.2753
9,0.8397,0.8708,0.3882,0.5593,0.3992,0.9334,1.98e-04,127,0.4731,0.3554,0.4028,0.4233,0.2865
10,0.7753,0.8479,0.3906,0.5617,0.4015,0.9350,1.97e-04,127,0.4868,0.3527,0.4071,0.4308,0.2794
11,0.7352,0.7843,0.4473,0.6182,0.4641,0.9252,1.96e-04,126,0.5407,0.4266,0.4669,0.4724,0.3306
12,0.6945,0.7852,0.4373,0.6085,0.4529,0.9271,1.94e-04,126,0.5314,0.4136,0.4620,0.4660,0.3166
13,0.6638,0.7713,0.4715,0.6409,0.4917,0.9198,1.92e-04,127,0.5581,0.4542,0.4925,0.4956,0.3538
14,0.6377,0.7707,0.4700,0.6395,0.4903,0.9193,1.89e-04,126,0.5701,0.4412,0.4882,0.4965,0.3502
15,0.6109,0.7425,0.5161,0.6808,0.5439,0.9099,1.87e-04,127,0.6145,0.4973,0.5320,0.5449,0.3864
16,0.5978,0.7848,0.5237,0.6874,0.5576,0.8960,1.84e-04,126,0.6296,0.5081,0.5483,0.5483,0.3841
17,0.5758,0.7610,0.5035,0.6697,0.5303,0.9088,1.80e-04,127,0.6111,0.4993,0.5301,0.5382,0.3523
18,0.5630,0.6614,0.5194,0.6837,0.5395,0.9331,1.77e-04,127,0.6247,0.5032,0.5401,0.5519,0.3814
19,0.5432,0.6985,0.5101,0.6756,0.5333,0.9214,1.73e-04,127,0.6159,0.4939,0.5386,0.5459,0.3669
20,0.5296,0.6692,0.5569,0.7154,0.5847,0.9212,1.69e-04,126,0.6714,0.5293,0.5678,0.5804,0.4305
21,0.5169,0.6955,0.5244,0.6880,0.5467,0.9279,1.64e-04,126,0.6449,0.5050,0.5503,0.5596,0.3733
22,0.5030,0.8316,0.5473,0.7074,0.5854,0.8935,1.60e-04,126,0.6519,0.5262,0.5688,0.5712,0.4099
23,0.4907,0.6822,0.5263,0.6897,0.5483,0.9291,1.55e-04,126,0.6695,0.5254,0.5676,0.5723,0.3432
24,0.4808,0.6898,0.5684,0.7248,0.5968,0.9228,1.50e-04,126,0.7054,0.5352,0.5831,0.5998,0.4206
25,0.4681,0.7716,0.5628,0.7202,0.5983,0.9046,1.45e-04,126,0.6895,0.5342,0.5824,0.5912,0.4131
26,0.4616,0.6587,0.5595,0.7175,0.5821,0.9350,1.40e-04,126,0.6960,0.5188,0.5653,0.5974,0.4190
27,0.4454,0.6045,0.5776,0.7322,0.6019,0.9347,1.34e-04,126,0.7276,0.5569,0.6063,0.6238,0.4004
28,0.4359,0.5807,0.5629,0.7203,0.5806,0.9485,1.29e-04,126,0.6913,0.5321,0.5835,0.6010,0.4122
29,0.4225,0.6032,0.5893,0.7416,0.6139,0.9364,1.23e-04,126,0.7133,0.5629,0.6102,0.6269,0.4356
30,0.4193,0.6300,0.5517,0.7111,0.5702,0.9446,1.17e-04,126,0.6977,0.5274,0.5664,0.5871,0.3947
31,0.4093,0.6150,0.6124,0.7596,0.6426,0.9286,1.12e-04,126,0.7440,0.5965,0.6298,0.6486,0.4486
32,0.4036,0.5804,0.5867,0.7395,0.6083,0.9429,1.06e-04,126,0.7301,0.5645,0.6029,0.6290,0.4219
33,0.3916,0.6274,0.6250,0.7692,0.6580,0.9256,1.00e-04,125,0.7720,0.6051,0.6467,0.6647,0.4478
34,0.3863,0.6489,0.6081,0.7563,0.6404,0.9234,9.42e-05,124,0.7383,0.5944,0.6256,0.6449,0.4421
35,0.3792,0.6263,0.6320,0.7745,0.6672,0.9229,8.84e-05,124,0.7682,0.6005,0.6457,0.6654,0.4781
36,0.3710,0.5669,0.6162,0.7625,0.6416,0.9395,8.26e-05,125,0.7598,0.5948,0.6380,0.6546,0.4461
37,0.3668,0.5899,0.6205,0.7658,0.6494,0.9330,7.69e-05,125,0.7580,0.6025,0.6348,0.6604,0.4534
38,0.3586,0.5746,0.5924,0.7441,0.6131,0.9462,7.13e-05,124,0.7499,0.5764,0.6125,0.6408,0.4104
39,0.3524,0.5647,0.5767,0.7315,0.5972,0.9438,6.58e-05,124,0.7505,0.5682,0.6193,0.6380,0.3715
40,0.3447,0.5750,0.6254,0.7695,0.6523,0.9381,6.04e-05,125,0.7774,0.6034,0.6400,0.6613,0.4569
41,0.3414,0.5879,0.6077,0.7560,0.6320,0.9405,5.51e-05,124,0.7690,0.5769,0.6346,0.6554,0.4268
42,0.3346,0.5738,0.6077,0.7560,0.6299,0.9451,5.00e-05,124,0.7575,0.5741,0.6297,0.6519,0.4399
43,0.3294,0.5738,0.6052,0.7541,0.6273,0.9451,4.50e-05,124,0.7639,0.5682,0.6274,0.6562,0.4294
44,0.3242,0.6277,0.6341,0.7761,0.6661,0.9297,4.03e-05,124,0.7808,0.6161,0.6586,0.6713,0.4568
45,0.3180,0.5789,0.6339,0.7760,0.6607,0.9399,3.57e-05,124,0.7874,0.6196,0.6564,0.6751,0.4510
46,0.3140,0.5708,0.6280,0.7715,0.6530,0.9425,3.14e-05,124,0.7775,0.6176,0.6506,0.6630,0.4506
47,0.3142,0.6225,0.6410,0.7812,0.6717,0.9334,2.72e-05,124,0.7864,0.6214,0.6519,0.6805,0.4714
