index,z,y,x,padded_context,valid,positive,tp,fp,fn,iou,dice,precision,recall
84,320,1792,128,1,134424,0,0,0,0,0.0,0.0,0.0,0.0
85,320,1856,0,1,215697,0,0,0,0,0.0,0.0,0.0,0.0
86,320,1856,64,0,215526,0,0,0,0,0.0,0.0,0.0,0.0
87,320,1856,128,1,134378,0,0,0,0,0.0,0.0,0.0,0.0
88,320,1920,0,1,215274,0,0,0,0,0.0,0.0,0.0,0.0
89,320,1920,64,0,216135,0,0,0,0,0.0,0.0,0.0,0.0
90,320,1920,128,1,134419,0,0,0,0,0.0,0.0,0.0,0.0
91,320,1984,0,1,215513,0,0,0,0,0.0,0.0,0.0,0.0
92,320,1984,64,0,215720,0,0,0,0,0.0,0.0,0.0,0.0
93,320,1984,128,1,134706,0,0,0,0,0.0,0.0,0.0,0.0
94,320,2048,0,1,215425,0,0,0,0,0.0,0.0,0.0,0.0
95,320,2048,64,0,215670,0,0,0,0,0.0,0.0,0.0,0.0
96,320,2048,128,1,134626,0,0,0,0,0.0,0.0,0.0,0.0
97,320,2112,0,1,215631,0,0,0,0,0.0,0.0,0.0,0.0
98,320,2112,64,0,215678,0,0,0,0,0.0,0.0,0.0,0.0
99,320,2112,128,1,134545,0,0,0,0,0.0,0.0,0.0,0.0
100,320,2176,0,1,215392,0,0,0,0,0.0,0.0,0.0,0.0
101,320,2176,64,0,215996,0,0,0,0,0.0,0.0,0.0,0.0
102,320,2176,128,1,134535,0,0,0,0,0.0,0.0,0.0,0.0
103,320,2240,0,1,215773,0,0,0,0,0.0,0.0,0.0,0.0
104,320,2240,64,0,215695,0,0,0,0,0.0,0.0,0.0,0.0
105,320,2240,128,1,134693,0,0,0,0,0.0,0.0,0.0,0.0
106,320,2304,0,1,215552,0,0,0,0,0.0,0.0,0.0,0.0
107,320,2304,64,0,215817,0,0,0,0,0.0,0.0,0.0,0.0
108,320,2304,128,1,134728,0,0,0,0,0.0,0.0,0.0,0.0
109,320,2368,0,1,215223,0,0,0,0,0.0,0.0,0.0,0.0
110,320,2368,64,0,215534,0,0,0,0,0.0,0.0,0.0,0.0
111,320,2368,128,1,134709,0,0,0,0,0.0,0.0,0.0,0.0
112,320,2432,0,1,215368,0,0,0,0,0.0,0.0,0.0,0.0
113,320,2432,64,0,215914,0,0,0,0,0.0,0.0,0.0,0.0
114,320,2432,128,1,134697,0,0,0,0,0.0,0.0,0.0,0.0
115,320,2496,0,1,197051,0,0,0,0,0.0,0.0,0.0,0.0
116,320,2496,64,0,215459,0,0,0,0,0.0,0.0,0.0,0.0
117,320,2496,128,1,134662,0,0,0,0,0.0,0.0,0.0,0.0
118,320,2560,0,1,75211,0,0,0,0,0.0,0.0,0.0,0.0
119,320,2560,64,0,214843,0,0,0,0,0.0,0.0,0.0,0.0
120,320,2560,128,1,134815,0,0,0,0,0.0,0.0,0.0,0.0
121,320,2624,0,1,1334,0,0,0,0,0.0,0.0,0.0,0.0
122,320,2624,64,0,145108,0,0,0,0,0.0,0.0,0.0,0.0
123,320,2624,128,1,134833,0,0,0,0,0.0,0.0,0.0,0.0
124,320,2688,64,0,17021,0,0,0,0,0.0,0.0,0.0,0.0
