epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
30,0.39047,0.39047,0.00000,0.00000,1.00,0.37180,0.3762,0.5467,0.4111,0.8159,1.00e-04,39,0.4099,0.4048,0.4610,0.4463,0.1263,0.7313
31,0.38237,0.38237,0.00000,0.00000,1.00,0.36665,0.3875,0.5586,0.4269,0.8078,1.00e-04,39,0.4131,0.3994,0.4524,0.4437,0.1382,0.7185
32,0.37581,0.37581,0.00000,0.00000,1.00,0.36000,0.3949,0.5662,0.4385,0.7989,1.00e-04,39,0.4376,0.4068,0.4871,0.4547,0.1279,0.7328
33,0.36922,0.36922,0.00000,0.00000,1.00,0.34937,0.4051,0.5766,0.4487,0.8066,1.00e-04,39,0.4333,0.4455,0.5056,0.4703,0.1373,0.7294
34,0.36422,0.36422,0.00000,0.00000,1.00,0.34202,0.4229,0.5944,0.4715,0.8039,1.00e-04,39,0.4617,0.4290,0.5359,0.4795,0.1424,0.7387
35,0.36025,0.36025,0.00000,0.00000,1.00,0.33832,0.4095,0.5811,0.4553,0.8030,1.00e-04,39,0.4619,0.4386,0.4930,0.4982,0.1397,0.7287
36,0.35590,0.35590,0.00000,0.00000,1.00,0.33020,0.4229,0.5944,0.4689,0.8117,1.00e-04,39,0.4781,0.4311,0.5283,0.4981,0.1483,0.7326
37,0.34708,0.34708,0.00000,0.00000,1.00,0.32756,0.4239,0.5954,0.4776,0.7904,1.00e-04,39,0.4779,0.4480,0.5347,0.5059,0.1432,0.7362
38,0.34315,0.34315,0.00000,0.00000,1.00,0.33298,0.4099,0.5815,0.4620,0.7844,1.00e-04,39,0.4602,0.4250,0.4640,0.4662,0.1388,0.7314
39,0.34478,0.34478,0.00000,0.00000,1.00,0.32367,0.4339,0.6052,0.5036,0.7582,1.00e-04,39,0.4810,0.4340,0.5293,0.5119,0.1390,0.7495
