epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
48,0.3058,0.4430,0.6407,0.7810,0.6575,0.9617,2.34e-05,112,0.7805,0.6263,0.6513,0.6867,0.4723
49,0.3005,0.4550,0.6559,0.7922,0.6754,0.9578,1.98e-05,113,0.7941,0.6416,0.6638,0.7021,0.4874
50,0.3002,0.4669,0.6546,0.7912,0.6752,0.9555,1.64e-05,113,0.7964,0.6422,0.6636,0.6953,0.4871
51,0.2972,0.4998,0.6538,0.7907,0.6755,0.9531,1.34e-05,112,0.7976,0.6335,0.6638,0.7020,0.4812
52,0.2946,0.4679,0.6584,0.7940,0.6794,0.9551,1.06e-05,112,0.7920,0.6464,0.6677,0.6930,0.4990
53,0.2939,0.4955,0.6527,0.7898,0.6741,0.9536,8.17e-06,111,0.7946,0.6333,0.6617,0.6968,0.4851
54,0.2927,0.4604,0.6577,0.7935,0.6776,0.9573,6.02e-06,113,0.7973,0.6440,0.6638,0.6991,0.4933
55,0.2921,0.4729,0.6611,0.7960,0.6827,0.9542,4.19e-06,112,0.7952,0.6501,0.6698,0.6931,0.5034
56,0.2906,0.4759,0.6565,0.7927,0.6769,0.9561,2.69e-06,113,0.7985,0.6415,0.6662,0.7025,0.4840
57,0.2898,0.4828,0.6580,0.7937,0.6798,0.9535,1.51e-06,112,0.7971,0.6417,0.6666,0.6947,0.4971
58,0.2903,0.4591,0.6583,0.7940,0.6781,0.9575,6.74e-07,112,0.7951,0.6455,0.6650,0.7031,0.4916
59,0.2896,0.4748,0.6582,0.7939,0.6796,0.9544,1.68e-07,110,0.7926,0.6449,0.6670,0.6898,0.5023
60,0.2894,0.4615,0.6596,0.7949,0.6799,0.9567,8.00e-10,109,0.7973,0.6450,0.6662,0.7030,0.4944
