epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
48,0.5755,0.6036,0.5079,0.6737,0.5230,0.9464,2.34e-05,70,0.5287,0.5381,0.5460,0.5090,0.4077
49,0.5731,0.5981,0.5027,0.6690,0.5167,0.9489,1.98e-05,70,0.5224,0.5349,0.5454,0.5035,0.3983
50,0.5731,0.5992,0.5034,0.6696,0.5178,0.9474,1.64e-05,70,0.5273,0.5354,0.5442,0.5104,0.3928
51,0.5684,0.5996,0.5151,0.6799,0.5312,0.9442,1.34e-05,70,0.5366,0.5470,0.5554,0.5189,0.4083
52,0.5668,0.5986,0.5136,0.6786,0.5294,0.9448,1.06e-05,70,0.5352,0.5454,0.5540,0.5188,0.4057
53,0.5640,0.5978,0.5140,0.6790,0.5298,0.9449,8.17e-06,70,0.5341,0.5458,0.5549,0.5177,0.4081
54,0.5642,0.5963,0.5070,0.6728,0.5216,0.9477,6.02e-06,70,0.5277,0.5379,0.5469,0.5108,0.4023
55,0.5634,0.5967,0.5176,0.6821,0.5339,0.9441,4.19e-06,70,0.5393,0.5491,0.5570,0.5228,0.4105
56,0.5613,0.5949,0.5150,0.6799,0.5308,0.9454,2.69e-06,70,0.5366,0.5467,0.5550,0.5194,0.4082
57,0.5614,0.5941,0.5108,0.6762,0.5259,0.9468,1.51e-06,70,0.5324,0.5425,0.5511,0.5154,0.4042
58,0.5595,0.5946,0.5147,0.6796,0.5305,0.9454,6.74e-07,70,0.5368,0.5467,0.5550,0.5191,0.4073
59,0.5601,0.5945,0.5149,0.6798,0.5307,0.9454,1.68e-07,70,0.5368,0.5469,0.5551,0.5191,0.4077
60,0.5601,0.5945,0.5147,0.6796,0.5305,0.9454,8.00e-10,70,0.5367,0.5467,0.5549,0.5190,0.4077
