DONE unet v2_val {'iou': 0.9121614716402657, 'precision': 0.949306672693673, 'recall': 0.9588676863577155, 'dice': 0.9540632265305578, 'tol2_precision': 1.0, 'tol2_recall': 0.9993017041105456, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.03586626052856445, 'ap': 0.9928870537898303}
DONE unet v2_test {'iou': 0.894027604225832, 'precision': 0.927151440183778, 'recall': 0.9615742932632833, 'dice': 0.9440491809423849, 'tol2_precision': 1.0, 'tol2_recall': 0.9999083647693083, 'label_fraction': 0.031221866607666016, 'predicted_fraction': 0.03238105773925781, 'ap': 0.9869095525636038}
DONE unet faultseg3d20 {'iou': 0.642018954981918, 'precision': 0.9663725950258095, 'recall': 0.6566898601376302, 'dice': 0.781987263952124, 'tol2_precision': 0.9999155326137963, 'tol2_recall': 0.9229832203422259, 'label_fraction': 0.07476663589477539, 'predicted_fraction': 0.05080699920654297, 'ap': 0.8630457024200032}
DONE unet wu_style_test {'iou': 0.741488243212703, 'precision': 0.9684175403924387, 'recall': 0.7598630550800524, 'dice': 0.8515569899510813, 'tol2_precision': 0.9871154858000847, 'tol2_recall': 0.9977947840096667, 'label_fraction': 0.047354698181152344, 'predicted_fraction': 0.03715658187866211, 'ap': 0.9235071432895223}
DONE unet v2_style_noise_0.25 {'iou': 0.8983829334952931, 'precision': 0.9395892332530503, 'recall': 0.953455893214444, 'dice': 0.946471776209234, 'tol2_precision': 1.0, 'tol2_recall': 0.9990197000013429, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.036032676696777344, 'ap': 0.989545448401556}
DONE unet v2_style_noise_0.50 {'iou': 0.8636985541544947, 'precision': 0.9131794664616267, 'recall': 0.9409671398068943, 'dice': 0.9268650793650793, 'tol2_precision': 1.0, 'tol2_recall': 0.9979319698658466, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.03658914566040039, 'ap': 0.976136101438084}
DONE unet v2_style_lowpass_0.6 {'iou': 0.9128157299638435, 'precision': 0.9494491767551262, 'recall': 0.9594451233432258, 'dice': 0.954420978105505, 'tol2_precision': 1.0, 'tol2_recall': 0.9992882753434407, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.03588247299194336, 'ap': 0.9927910768336072}
DONE unet v2_style_lowpass_1.0 {'iou': 0.9113586484969122, 'precision': 0.9481614230718174, 'recall': 0.9591496904669182, 'dice': 0.9536239043505544, 'tol2_precision': 1.0, 'tol2_recall': 0.9992345602750211, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.035920143127441406, 'ap': 0.9923468957103776}
DONE unet v2_style_phase_30 {'iou': 0.8642365561957861, 'precision': 0.9218637992831541, 'recall': 0.932547302832127, 'dice': 0.9271747765309052, 'tol2_precision': 1.0, 'tol2_recall': 0.9994091342473848, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.035920143127441406, 'ap': 0.9749978915411427}
DONE unet v2_style_phase_60 {'iou': 0.8416386014328577, 'precision': 0.905311413215302, 'recall': 0.9228785905166047, 'dice': 0.9140105998842923, 'tol2_precision': 0.9999868268521446, 'tol2_recall': 0.9994091342473848, 'label_fraction': 0.03550863265991211, 'predicted_fraction': 0.036197662353515625, 'ap': 0.9577323507605088}
