epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
48,0.2787,0.3789,0.6987,0.8226,0.7238,0.9527,2.34e-05,176,0.8292,0.6961,0.7203,0.7491,0.5103
49,0.2769,0.3903,0.7083,0.8292,0.7352,0.9508,1.98e-05,176,0.8352,0.6924,0.7172,0.7540,0.5405
50,0.2759,0.3792,0.7035,0.8260,0.7296,0.9517,1.64e-05,177,0.8391,0.6965,0.7174,0.7541,0.5198
51,0.2745,0.3826,0.6978,0.8220,0.7217,0.9547,1.34e-05,178,0.8296,0.6835,0.7097,0.7443,0.5252
52,0.2706,0.3814,0.7065,0.8280,0.7329,0.9514,1.06e-05,180,0.8353,0.6975,0.7215,0.7549,0.5283
53,0.2708,0.3810,0.7036,0.8260,0.7294,0.9522,8.17e-06,181,0.8391,0.6968,0.7197,0.7497,0.5226
54,0.2701,0.3851,0.7071,0.8284,0.7333,0.9520,6.02e-06,183,0.8381,0.6952,0.7195,0.7571,0.5290
55,0.2683,0.3748,0.7021,0.8250,0.7268,0.9537,4.19e-06,184,0.8352,0.6948,0.7160,0.7540,0.5191
56,0.2674,0.3903,0.7025,0.8252,0.7289,0.9509,2.69e-06,186,0.8374,0.6895,0.7189,0.7551,0.5193
57,0.2677,0.3735,0.7069,0.8283,0.7325,0.9530,1.51e-06,184,0.8386,0.7012,0.7215,0.7544,0.5265
58,0.2661,0.3849,0.7039,0.8262,0.7300,0.9517,6.74e-07,183,0.8372,0.6938,0.7192,0.7557,0.5213
59,0.2671,0.3743,0.7089,0.8296,0.7349,0.9524,1.68e-07,181,0.8400,0.7015,0.7231,0.7558,0.5304
60,0.2662,0.3747,0.7102,0.8305,0.7364,0.9523,8.00e-10,184,0.8416,0.7054,0.7239,0.7591,0.5284
