epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_fault_none,val_iou_fault_sparse,val_iou_fault_dense
1,0.57452,0.57452,0.00000,0.00000,0.00,0.56908,0.0908,0.1664,0.0978,0.5589,1.09e-05,142,0.0008,0.0394,0.1846
2,0.56485,0.56485,0.00000,0.00000,0.00,0.56204,0.1117,0.2009,0.1212,0.5884,2.08e-05,135,0.0011,0.0503,0.2121
3,0.55598,0.55598,0.00000,0.00000,0.00,0.55693,0.1332,0.2351,0.1447,0.6275,3.07e-05,135,0.0015,0.0609,0.2257
4,0.55213,0.55213,0.00000,0.00000,0.00,0.55048,0.1695,0.2898,0.1884,0.6284,4.06e-05,135,0.0022,0.0824,0.2547
5,0.54345,0.54345,0.00000,0.00000,0.00,0.54626,0.1841,0.3110,0.2084,0.6124,5.05e-05,135,0.0022,0.0944,0.2650
