epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
30,0.39882,0.39882,0.00000,0.00000,1.00,0.38123,0.3785,0.5492,0.4265,0.7708,1.00e-04,34,0.4123,0.3632,0.4736,0.4758,0.1092,0.7308
31,0.39167,0.39167,0.00000,0.00000,1.00,0.38082,0.3568,0.5260,0.3984,0.7737,1.00e-04,35,0.3790,0.3564,0.4402,0.4227,0.1179,0.6942
32,0.38826,0.38826,0.00000,0.00000,1.00,0.37205,0.3676,0.5376,0.4092,0.7832,1.00e-04,35,0.4045,0.3724,0.4866,0.4537,0.1135,0.7068
33,0.38211,0.38211,0.00000,0.00000,1.00,0.36195,0.3852,0.5562,0.4332,0.7767,1.00e-04,35,0.4134,0.3903,0.4938,0.4823,0.1162,0.7427
34,0.37369,0.37369,0.00000,0.00000,1.00,0.35701,0.3871,0.5581,0.4370,0.7721,1.00e-04,35,0.4294,0.3834,0.5037,0.4752,0.1208,0.7266
35,0.37138,0.37138,0.00000,0.00000,1.00,0.35945,0.3669,0.5368,0.4066,0.7896,1.00e-04,34,0.3992,0.3586,0.4862,0.4481,0.1099,0.7268
36,0.36716,0.36716,0.00000,0.00000,1.00,0.35395,0.3839,0.5548,0.4380,0.7563,1.00e-04,34,0.4231,0.3696,0.4761,0.4736,0.1187,0.6989
37,0.36083,0.36083,0.00000,0.00000,1.00,0.33960,0.4064,0.5779,0.4656,0.7616,1.00e-04,35,0.4631,0.3975,0.5206,0.5026,0.1287,0.7365
38,0.35447,0.35447,0.00000,0.00000,1.00,0.34874,0.3809,0.5517,0.4327,0.7608,1.00e-04,35,0.4101,0.3523,0.4668,0.4491,0.1199,0.7372
39,0.35290,0.35290,0.00000,0.00000,1.00,0.33431,0.4064,0.5779,0.4654,0.7621,1.00e-04,35,0.4456,0.4044,0.5016,0.4914,0.1254,0.7540
40,0.34928,0.34928,0.00000,0.00000,1.00,0.33613,0.3944,0.5657,0.4452,0.7757,1.00e-04,35,0.4187,0.3970,0.4700,0.4601,0.1240,0.7524
41,0.34169,0.34169,0.00000,0.00000,1.00,0.32464,0.4153,0.5868,0.4772,0.7618,1.00e-04,35,0.4662,0.4084,0.5272,0.4955,0.1297,0.7504
42,0.34015,0.34015,0.00000,0.00000,1.00,0.32847,0.4072,0.5787,0.4760,0.7381,1.00e-04,35,0.4427,0.3951,0.4992,0.4892,0.1278,0.7514
43,0.34054,0.34054,0.00000,0.00000,1.00,0.32087,0.4159,0.5875,0.4746,0.7708,1.00e-04,35,0.4448,0.4099,0.5147,0.5090,0.1305,0.7493
44,0.33417,0.33417,0.00000,0.00000,1.00,0.34149,0.3918,0.5630,0.4632,0.7177,1.00e-04,35,0.4045,0.3768,0.4428,0.4078,0.1176,0.7412
45,0.33056,0.33056,0.00000,0.00000,1.00,0.32054,0.4244,0.5959,0.5093,0.7178,1.00e-04,35,0.4537,0.3967,0.5357,0.5126,0.1189,0.7614
46,0.33032,0.33032,0.00000,0.00000,1.00,0.30972,0.4322,0.6035,0.5072,0.7452,1.00e-04,35,0.4735,0.4215,0.5564,0.5163,0.1281,0.7605
47,0.32639,0.32639,0.00000,0.00000,1.00,0.31790,0.4098,0.5814,0.4852,0.7251,1.00e-04,35,0.4628,0.4321,0.4947,0.5030,0.1061,0.7617
48,0.32596,0.32596,0.00000,0.00000,1.00,0.30942,0.4162,0.5878,0.4855,0.7445,1.00e-04,35,0.4846,0.3970,0.5288,0.5085,0.1322,0.7317
49,0.32255,0.32255,0.00000,0.00000,1.00,0.30364,0.4290,0.6005,0.5070,0.7361,1.00e-04,35,0.4839,0.4311,0.5404,0.5112,0.1309,0.7561
50,0.31668,0.31668,0.00000,0.00000,1.00,0.31551,0.4002,0.5716,0.4606,0.7530,1.00e-04,35,0.4332,0.3723,0.5040,0.4762,0.1269,0.7512
51,0.31433,0.31433,0.00000,0.00000,1.00,0.29973,0.4317,0.6030,0.5108,0.7359,1.00e-04,35,0.4778,0.4065,0.5494,0.5175,0.1405,0.7590
52,0.31380,0.31380,0.00000,0.00000,1.00,0.29507,0.4228,0.5943,0.4937,0.7464,1.00e-04,35,0.4713,0.4746,0.5502,0.5200,0.1326,0.7522
53,0.31012,0.31012,0.00000,0.00000,1.00,0.29593,0.4372,0.6084,0.5209,0.7313,1.00e-04,35,0.4884,0.4496,0.5343,0.5111,0.1351,0.7490
54,0.31370,0.31370,0.00000,0.00000,1.00,0.29984,0.4215,0.5930,0.4876,0.7566,1.00e-04,35,0.4455,0.4105,0.5120,0.5233,0.1413,0.7406
55,0.30978,0.30978,0.00000,0.00000,1.00,0.29267,0.4282,0.5996,0.5022,0.7439,1.00e-04,35,0.4819,0.4504,0.5270,0.5075,0.1400,0.7629
56,0.30359,0.30359,0.00000,0.00000,1.00,0.29606,0.4312,0.6026,0.5173,0.7215,1.00e-04,35,0.4665,0.4462,0.5170,0.5187,0.1356,0.7534
57,0.30409,0.30409,0.00000,0.00000,1.00,0.28610,0.4320,0.6034,0.4950,0.7725,1.00e-04,35,0.4731,0.4815,0.5279,0.5260,0.1402,0.7628
58,0.30209,0.30209,0.00000,0.00000,1.00,0.28181,0.4518,0.6224,0.5351,0.7439,1.00e-04,35,0.4870,0.4800,0.5532,0.5426,0.1433,0.7657
59,0.29801,0.29801,0.00000,0.00000,1.00,0.30552,0.4318,0.6032,0.5249,0.7090,1.00e-04,35,0.4511,0.3603,0.5283,0.4703,0.1234,0.7685
60,0.29859,0.29859,0.00000,0.00000,1.00,0.28116,0.4401,0.6112,0.5131,0.7557,1.00e-04,35,0.5282,0.4528,0.5481,0.5372,0.1348,0.7654
61,0.29636,0.29636,0.00000,0.00000,1.00,0.27741,0.4443,0.6152,0.5144,0.7651,1.00e-04,35,0.5342,0.4351,0.5633,0.5353,0.1454,0.7593
62,0.29753,0.29753,0.00000,0.00000,1.00,0.28794,0.4337,0.6050,0.5204,0.7225,1.00e-04,35,0.4969,0.3988,0.5444,0.5072,0.1386,0.7635
63,0.29675,0.29675,0.00000,0.00000,1.00,0.28496,0.4343,0.6056,0.4995,0.7689,1.00e-04,35,0.4628,0.4462,0.5357,0.5376,0.1378,0.7601
64,0.29164,0.29164,0.00000,0.00000,1.00,0.29141,0.4447,0.6156,0.5453,0.7067,1.00e-04,34,0.4844,0.4463,0.4868,0.4979,0.1333,0.7680
65,0.29192,0.29192,0.00000,0.00000,1.00,0.27789,0.4579,0.6282,0.5459,0.7397,1.00e-04,34,0.5073,0.4596,0.5459,0.5227,0.1474,0.7682
66,0.28917,0.28917,0.00000,0.00000,1.00,0.26927,0.4539,0.6244,0.5478,0.7258,1.00e-04,35,0.5589,0.4805,0.5563,0.5523,0.1521,0.7166
67,0.28815,0.28815,0.00000,0.00000,1.00,0.27714,0.4565,0.6268,0.5561,0.7181,1.00e-04,35,0.5060,0.4806,0.5571,0.5363,0.1352,0.7606
68,0.28932,0.28932,0.00000,0.00000,1.00,0.27361,0.4441,0.6151,0.5121,0.7698,1.00e-04,35,0.5081,0.4798,0.5387,0.5146,0.1491,0.7637
69,0.28940,0.28940,0.00000,0.00000,1.00,0.27493,0.4433,0.6143,0.5203,0.7499,1.00e-04,35,0.5091,0.4556,0.5655,0.5300,0.1380,0.7721
70,0.28586,0.28586,0.00000,0.00000,1.00,0.27850,0.4436,0.6145,0.5249,0.7411,1.00e-04,35,0.4867,0.4509,0.5770,0.5263,0.1348,0.7440
71,0.28343,0.28343,0.00000,0.00000,1.00,0.27017,0.4427,0.6137,0.5148,0.7597,1.00e-04,35,0.5312,0.4648,0.5875,0.5340,0.1333,0.7775
72,0.28496,0.28496,0.00000,0.00000,1.00,0.26904,0.4685,0.6381,0.5593,0.7426,1.00e-04,35,0.5201,0.4899,0.5376,0.5604,0.1438,0.7739
73,0.28374,0.28374,0.00000,0.00000,1.00,0.27923,0.4446,0.6155,0.5308,0.7323,1.00e-04,35,0.4848,0.4611,0.5135,0.5307,0.1375,0.7771
74,0.28397,0.28397,0.00000,0.00000,1.00,0.27306,0.4557,0.6261,0.5420,0.7412,1.00e-04,35,0.5057,0.4758,0.5367,0.5212,0.1433,0.7760
75,0.27806,0.27806,0.00000,0.00000,1.00,0.26356,0.4643,0.6341,0.5525,0.7440,1.00e-04,35,0.5398,0.4601,0.5902,0.5423,0.1543,0.7643
76,0.27714,0.27714,0.00000,0.00000,1.00,0.26153,0.4632,0.6331,0.5420,0.7610,1.00e-04,34,0.5312,0.5101,0.5512,0.5392,0.1590,0.7749
77,0.27760,0.27760,0.00000,0.00000,1.00,0.26319,0.4646,0.6345,0.5519,0.7461,1.00e-04,35,0.5380,0.4842,0.5709,0.5524,0.1474,0.7743
78,0.27451,0.27451,0.00000,0.00000,1.00,0.26284,0.4758,0.6448,0.5671,0.7472,1.00e-04,35,0.5233,0.4885,0.5942,0.5585,0.1433,0.7792
79,0.27415,0.27415,0.00000,0.00000,1.00,0.26411,0.4840,0.6523,0.5963,0.7198,1.00e-04,34,0.5520,0.4919,0.5694,0.5502,0.1380,0.7666
80,0.27415,0.27415,0.00000,0.00000,1.00,0.25928,0.4791,0.6478,0.5813,0.7314,1.00e-04,35,0.5701,0.5001,0.5593,0.5348,0.1480,0.7768
81,0.27568,0.27568,0.00000,0.00000,1.00,0.26573,0.4586,0.6288,0.5368,0.7588,1.00e-04,35,0.5393,0.5046,0.5374,0.5439,0.1391,0.7751
82,0.27170,0.27170,0.00000,0.00000,1.00,0.26077,0.4776,0.6465,0.5704,0.7460,1.00e-04,35,0.5378,0.4803,0.5879,0.5375,0.1498,0.7789
83,0.27247,0.27247,0.00000,0.00000,1.00,0.25759,0.4721,0.6414,0.5584,0.7534,1.00e-04,34,0.5197,0.5308,0.5709,0.5700,0.1537,0.7750
