epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
30,0.33431,0.33431,0.00000,0.00000,1.00,0.30924,0.4233,0.5949,0.5103,0.7130,1.00e-04,48,0.4862,0.4334,0.5170,0.5115,0.1346,0.7014
31,0.32799,0.32799,0.00000,0.00000,1.00,0.30874,0.4207,0.5922,0.4932,0.7410,1.00e-04,48,0.4388,0.4252,0.4942,0.4839,0.1489,0.7044
32,0.32408,0.32408,0.00000,0.00000,1.00,0.29865,0.4314,0.6028,0.5095,0.7378,1.00e-04,48,0.4714,0.4697,0.5098,0.5151,0.1416,0.7109
33,0.31816,0.31816,0.00000,0.00000,1.00,0.29694,0.4298,0.6012,0.5013,0.7508,1.00e-04,48,0.4638,0.4615,0.5009,0.5045,0.1459,0.7135
34,0.31604,0.31604,0.00000,0.00000,1.00,0.29441,0.4382,0.6094,0.5276,0.7212,1.00e-04,48,0.4883,0.4524,0.5051,0.4995,0.1447,0.7148
35,0.30989,0.30989,0.00000,0.00000,1.00,0.28587,0.4479,0.6187,0.5290,0.7450,1.00e-04,48,0.4942,0.4713,0.5200,0.5224,0.1524,0.7161
36,0.31107,0.31107,0.00000,0.00000,1.00,0.28262,0.4452,0.6161,0.5254,0.7447,1.00e-04,48,0.5014,0.4706,0.5418,0.5225,0.1566,0.6853
37,0.30543,0.30543,0.00000,0.00000,1.00,0.27934,0.4519,0.6225,0.5467,0.7226,1.00e-04,49,0.5222,0.4442,0.5428,0.5309,0.1588,0.7124
38,0.30369,0.30369,0.00000,0.00000,1.00,0.27718,0.4536,0.6241,0.5452,0.7295,1.00e-04,49,0.5035,0.4800,0.5320,0.5456,0.1561,0.7222
39,0.29823,0.29823,0.00000,0.00000,1.00,0.27919,0.4550,0.6255,0.5570,0.7131,1.00e-04,48,0.4994,0.4807,0.5336,0.5349,0.1532,0.7127
40,0.29838,0.29838,0.00000,0.00000,1.00,0.27972,0.4568,0.6271,0.5561,0.7190,1.00e-04,48,0.4928,0.4879,0.5111,0.5401,0.1463,0.7256
41,0.29263,0.29263,0.00000,0.00000,1.00,0.27453,0.4514,0.6221,0.5393,0.7347,1.00e-04,49,0.5040,0.4834,0.5371,0.5370,0.1517,0.7204
42,0.29501,0.29501,0.00000,0.00000,1.00,0.26517,0.4629,0.6328,0.5490,0.7468,1.00e-04,49,0.5287,0.4996,0.5711,0.5465,0.1607,0.7217
43,0.29110,0.29110,0.00000,0.00000,1.00,0.27130,0.4758,0.6448,0.5798,0.7262,1.00e-04,48,0.5095,0.4411,0.5384,0.5192,0.1699,0.7335
44,0.28954,0.28954,0.00000,0.00000,1.00,0.28638,0.4400,0.6111,0.5304,0.7207,1.00e-04,48,0.5010,0.4618,0.5046,0.4834,0.1308,0.7221
45,0.28540,0.28540,0.00000,0.00000,1.00,0.26668,0.4839,0.6522,0.5869,0.7337,1.00e-04,48,0.5401,0.4653,0.5612,0.5332,0.1548,0.7364
