epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.57755,0.57755,0.00000,0.00000,0.00,0.56606,0.1549,0.2682,0.1605,0.8160,1.09e-05,214,0.1324,0.1522,0.1455,0.1448,0.0670,0.3029
2,0.56110,0.56110,0.00000,0.00000,0.00,0.55432,0.1802,0.3054,0.1861,0.8497,2.08e-05,201,0.1637,0.1875,0.1876,0.1909,0.0675,0.3390
3,0.55206,0.55206,0.00000,0.00000,0.00,0.54563,0.1983,0.3309,0.2039,0.8779,3.07e-05,201,0.1838,0.2085,0.2070,0.2066,0.0693,0.3857
4,0.54548,0.54548,0.00000,0.00000,0.00,0.53897,0.1959,0.3276,0.2004,0.8970,4.06e-05,201,0.1879,0.2085,0.2028,0.2000,0.0700,0.4078
5,0.53810,0.53810,0.00000,0.00000,0.00,0.53295,0.2083,0.3448,0.2146,0.8768,5.05e-05,201,0.1963,0.2179,0.2252,0.2113,0.0704,0.4550
