epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
30,0.32748,0.32748,0.00000,0.00000,1.00,0.31782,0.3820,0.5528,0.4790,0.6535,9.73e-05,74,0.3740,0.3933,0.4673,0.4503,0.1305,0.5785
31,0.32669,0.32669,0.00000,0.00000,1.00,0.31856,0.3707,0.5409,0.4525,0.6722,9.70e-05,74,0.3953,0.3928,0.4424,0.4252,0.1311,0.5835
32,0.32377,0.32377,0.00000,0.00000,1.00,0.30444,0.3951,0.5665,0.4815,0.6878,9.67e-05,74,0.4345,0.4074,0.4969,0.4908,0.1289,0.5866
33,0.32202,0.32202,0.00000,0.00000,1.00,0.30564,0.3887,0.5598,0.4764,0.6786,9.64e-05,74,0.4226,0.4034,0.4892,0.4894,0.1315,0.5932
34,0.32061,0.32061,0.00000,0.00000,1.00,0.30150,0.3965,0.5679,0.4837,0.6876,9.61e-05,74,0.4341,0.4043,0.5042,0.5009,0.1306,0.5966
35,0.32065,0.32065,0.00000,0.00000,1.00,0.30302,0.3995,0.5709,0.4826,0.6988,9.58e-05,74,0.4175,0.4215,0.4963,0.4955,0.1321,0.5990
36,0.31723,0.31723,0.00000,0.00000,1.00,0.30438,0.3964,0.5677,0.4852,0.6841,9.55e-05,74,0.4241,0.4087,0.4786,0.4726,0.1349,0.6068
37,0.31532,0.31532,0.00000,0.00000,1.00,0.29798,0.4132,0.5847,0.5270,0.6566,9.51e-05,74,0.4420,0.4164,0.5137,0.5124,0.1295,0.6135
38,0.31376,0.31376,0.00000,0.00000,1.00,0.29868,0.4022,0.5737,0.4931,0.6859,9.47e-05,74,0.4285,0.4266,0.4978,0.5150,0.1349,0.6054
39,0.31453,0.31453,0.00000,0.00000,1.00,0.29473,0.4122,0.5837,0.5157,0.6725,9.44e-05,74,0.4574,0.4189,0.5064,0.5014,0.1377,0.6156
40,0.31059,0.31059,0.00000,0.00000,1.00,0.29382,0.4127,0.5843,0.5128,0.6788,9.40e-05,74,0.4571,0.4299,0.5145,0.4942,0.1351,0.6199
41,0.30654,0.30654,0.00000,0.00000,1.00,0.29798,0.4107,0.5822,0.5066,0.6844,9.36e-05,74,0.4399,0.4178,0.5004,0.4984,0.1346,0.6202
42,0.30964,0.30964,0.00000,0.00000,1.00,0.29809,0.4051,0.5766,0.4893,0.7018,9.32e-05,74,0.4444,0.4338,0.5070,0.4799,0.1313,0.6093
43,0.30770,0.30770,0.00000,0.00000,1.00,0.29478,0.4148,0.5864,0.5165,0.6782,9.27e-05,74,0.4613,0.4219,0.5164,0.5094,0.1271,0.6260
44,0.30670,0.30670,0.00000,0.00000,1.00,0.29768,0.4061,0.5776,0.4919,0.6994,9.23e-05,74,0.4521,0.4302,0.4872,0.4759,0.1344,0.6219
45,0.30316,0.30316,0.00000,0.00000,1.00,0.29555,0.4176,0.5891,0.5280,0.6662,9.19e-05,74,0.4430,0.4264,0.5089,0.4876,0.1355,0.6322
46,0.30333,0.30333,0.00000,0.00000,1.00,0.29764,0.4185,0.5901,0.5201,0.6818,9.14e-05,74,0.4364,0.4499,0.4954,0.4890,0.1262,0.6322
47,0.30345,0.30345,0.00000,0.00000,1.00,0.29045,0.4175,0.5890,0.5121,0.6931,9.09e-05,74,0.4618,0.4415,0.5101,0.5085,0.1344,0.6355
48,0.30490,0.30490,0.00000,0.00000,1.00,0.28828,0.4193,0.5909,0.5151,0.6928,9.05e-05,74,0.4682,0.4258,0.5159,0.5119,0.1425,0.6370
49,0.29939,0.29939,0.00000,0.00000,1.00,0.29749,0.4220,0.5935,0.5305,0.6735,9.00e-05,74,0.4251,0.4182,0.5050,0.4942,0.1361,0.6311
50,0.29768,0.29768,0.00000,0.00000,1.00,0.29013,0.4279,0.5993,0.5398,0.6735,8.95e-05,74,0.4609,0.4224,0.5193,0.5109,0.1362,0.6392
51,0.29676,0.29676,0.00000,0.00000,1.00,0.28681,0.4266,0.5980,0.5245,0.6956,8.90e-05,74,0.4661,0.4307,0.5238,0.5186,0.1387,0.6407
52,0.29448,0.29448,0.00000,0.00000,1.00,0.30180,0.4111,0.5827,0.5110,0.6777,8.84e-05,74,0.4294,0.4323,0.4578,0.4286,0.1398,0.6489
53,0.29383,0.29383,0.00000,0.00000,1.00,0.28934,0.4283,0.5998,0.5310,0.6890,8.79e-05,74,0.4655,0.4277,0.5266,0.4918,0.1368,0.6459
54,0.29330,0.29330,0.00000,0.00000,1.00,0.28543,0.4287,0.6001,0.5236,0.7028,8.74e-05,74,0.4670,0.4447,0.5088,0.5275,0.1417,0.6431
55,0.29592,0.29592,0.00000,0.00000,1.00,0.28242,0.4140,0.5856,0.4929,0.7212,8.68e-05,74,0.4680,0.4536,0.5342,0.5252,0.1434,0.6472
56,0.28920,0.28920,0.00000,0.00000,1.00,0.28725,0.4270,0.5985,0.5183,0.7080,8.62e-05,74,0.4798,0.4237,0.5352,0.5060,0.1358,0.6342
57,0.29046,0.29046,0.00000,0.00000,1.00,0.28446,0.4321,0.6034,0.5416,0.6812,8.57e-05,74,0.4662,0.4517,0.5266,0.5171,0.1396,0.6503
58,0.28798,0.28798,0.00000,0.00000,1.00,0.28603,0.4284,0.5998,0.5310,0.6891,8.51e-05,74,0.4770,0.4468,0.5099,0.4939,0.1419,0.6490
59,0.28729,0.28729,0.00000,0.00000,1.00,0.28527,0.4315,0.6029,0.5409,0.6810,8.45e-05,74,0.4846,0.4177,0.5373,0.5044,0.1399,0.6554
60,0.28726,0.28726,0.00000,0.00000,1.00,0.28572,0.4315,0.6029,0.5436,0.6766,8.39e-05,74,0.4821,0.4273,0.5252,0.5044,0.1380,0.6576
61,0.28760,0.28760,0.00000,0.00000,1.00,0.28203,0.4356,0.6068,0.5371,0.6974,8.33e-05,74,0.4788,0.4611,0.5254,0.5128,0.1419,0.6569
62,0.28592,0.28592,0.00000,0.00000,1.00,0.28809,0.4333,0.6046,0.5353,0.6946,8.26e-05,74,0.4760,0.4283,0.5230,0.5042,0.1325,0.6522
63,0.28499,0.28499,0.00000,0.00000,1.00,0.27901,0.4410,0.6121,0.5512,0.6882,8.20e-05,74,0.4884,0.4514,0.5348,0.5239,0.1458,0.6589
64,0.28636,0.28636,0.00000,0.00000,1.00,0.28932,0.4318,0.6032,0.5385,0.6855,8.14e-05,74,0.4711,0.4275,0.4929,0.5026,0.1370,0.6566
65,0.28261,0.28261,0.00000,0.00000,1.00,0.27960,0.4405,0.6116,0.5503,0.6882,8.07e-05,74,0.5048,0.4401,0.5355,0.5195,0.1398,0.6627
