epoch,loss,seg,profile,trace,valid_profiles,valid_windows,aux_ramp,val_iou,val_dice,val_precision,val_recall,old_lr,seconds,updates,peak_memory_mib,max_rank_parameter_difference
1,0.0755765640968457,0.0755765640968457,0.030351981889689343,0.07531827050959691,1024.0,5.48625,0,0.8198030197717778,0.9009799531760198,0.9101322508340035,0.8920098940916261,5e-06,68.43992877006531,100,10579.3720703125,0.0
2,0.07749853997025638,0.07749853997025638,0.0313851778069511,0.0781900324462913,1024.0,5.48375,0.0,0.8185642342675885,0.9002313130800775,0.9082909229429995,0.8923134771536941,9.932488451843475e-06,59.37334871292114,200,8874.224609375,0.0
3,0.07773435112088918,0.07603599680121988,0.03042191099608317,0.07502451812382788,1024.0,5.48375,0.25,0.819408569036278,0.9007416838432395,0.9037742407759756,0.8977294099555215,9.73179534641814e-06,59.207356214523315,300,8874.224609375,0.0
4,0.07917903157416731,0.07578557070810348,0.030216418087948116,0.07530559780076146,1024.0,5.4875,0.5,0.8187111809505992,0.9003201712574037,0.9037489672747208,0.8969172943986112,9.403395068472121e-06,59.91659498214722,400,8874.224609375,0.0
5,0.0823447985900566,0.07712398230098189,0.031091239727102222,0.07703928757924586,1024.0,5.48125,0.75,0.8199724275691767,0.901082252838701,0.9034351936110151,0.8987415364046575,8.956245521512148e-06,59.82623028755188,500,8874.224609375,0.0
6,0.0836830592341721,0.07688615722116082,0.030681126581039282,0.07457578533096239,1024.0,5.492500000000001,1.0,0.8191760396320686,0.9006011752416752,0.9099634217605026,0.8914296155771446,8.402543779547419e-06,59.982208490371704,600,8874.224609375,0.0
7,0.08279042050708085,0.07616934906691313,0.030257131913676856,0.07190716292010621,1024.0,5.48375,1,0.8190931266164656,0.9005510653981618,0.9057091792015116,0.8954513709457155,7.757393382706015e-06,59.65583801269531,700,8874.224609375,0.0
8,0.08378389921970665,0.07694030523765832,0.030579579859040678,0.07571271832566709,1024.0,5.48375,1,0.8192235689299201,0.9006298982942411,0.9084336750807244,0.892959054148765,7.0383923520322e-06,59.735262393951416,800,8874.224609375,0.0
9,0.08384368118364363,0.07692323716823013,0.03055239578476176,0.0773040801519528,1024.0,5.48625,1,0.8201879409716119,0.9012123666018769,0.9070925949962908,0.8954078843525498,6.265153161346956e-06,59.663278579711914,900,8874.224609375,0.0
10,0.08440306184347719,0.07752811251208186,0.030876229426357895,0.0757465264631901,1024.0,5.4925,1,0.818935128274682,0.9004555638567144,0.9059945888153761,0.8949838557737644,5.458767760088047e-06,59.77111792564392,1000,8874.224609375,0.0
11,0.08314811287447811,0.07623126179445536,0.030168840467231346,0.07799933823058382,1024.0,5.48875,1,0.8198474861673063,0.9010068067780206,0.9050413154507329,0.8970081086720361,4.641232239911956e-06,59.48245596885681,1100,8874.224609375,0.0
12,0.08197613391559572,0.07525927450973541,0.029582176457624884,0.075172832806129,1024.0,5.487500000000001,1,0.8203135619445352,0.9012881946209772,0.9077356051339257,0.8949317267346384,3.8348468386530454e-06,59.65925073623657,1200,8874.224609375,0.0
13,0.08346815836150198,0.07655327647458762,0.030366061930544676,0.07756551056867465,1024.0,5.48375,1,0.8201879629943152,0.9012123798962589,0.9052785195528715,0.8971826037714262,3.061607647967802e-06,59.668843269348145,1300,8874.224609375,0.0
14,0.08349206149112434,0.07664557644166052,0.030367904525483026,0.07619389286730438,1024.0,5.49,1,0.8204041555785043,0.9013428727510117,0.9079347864212426,0.8948459881834443,2.3426066172939865e-06,68.51311492919922,1399,9905.0390625,0.0
15,0.08257268780376763,0.07589345204178244,0.029884833929827437,0.0738150453241542,1024.0,5.49125,1,0.8194810568445127,0.9007854781029941,0.9050292326075298,0.8965813364596124,1.6974562204525829e-06,59.154205322265625,1499,8874.6201171875,0.0
16,0.08109731609933078,0.07444196672644465,0.029244424797361716,0.07461813442874698,1024.0,5.48625,1,0.8205312427201593,0.9014195675039962,0.9070718791796499,0.8958372630169297,1.1437544784878524e-06,59.168869733810425,1599,8873.0048828125,0.0
17,0.08334708993323148,0.07663317356258631,0.030398504224140192,0.07348131345584988,1024.0,5.48375,1,0.8201755488130641,0.9012048858121408,0.9070133914477926,0.8954703020178191,6.966049315278797e-07,59.28713870048523,1699,8873.0048828125,0.0
18,0.08257106802426278,0.07593237160239369,0.029853158148471268,0.07306761010317131,1024.0,5.4875,1,0.8210566678266745,0.9017365382775903,0.9073311112836357,0.8962105343734083,3.68204653581858e-07,59.44104313850403,1799,8873.0048828125,0.0
19,0.08200189440511166,0.07532022079918534,0.029698719556909052,0.0742360280174762,1024.0,5.485,1,0.8208880945689462,0.9016348637979016,0.9065803167157247,0.8967430736625849,1.6751154815652454e-07,59.381635427474976,1899,8873.0048828125,0.0
20,0.08240306568797678,0.07566034766379745,0.029872248399769888,0.075109860568773,1024.0,5.487500000000001,1,0.8202588505125601,0.9012551706935378,0.9069250220585457,0.8956557716517621,1.0000000000000001e-07,59.39733076095581,1999,8873.0048828125,0.0
