epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
32,0.15056,0.15056,0.00000,0.00000,1.00,0.13492,0.6811,0.8103,0.8050,0.8157,9.67e-05,67,0.7901,0.6745,0.6755,0.6846,0.5583
33,0.14983,0.14983,0.00000,0.00000,1.00,0.13168,0.6896,0.8163,0.8247,0.8080,9.64e-05,67,0.8110,0.6819,0.6796,0.6900,0.5635
34,0.14860,0.14860,0.00000,0.00000,1.00,0.13150,0.6898,0.8164,0.8236,0.8093,9.61e-05,68,0.8050,0.6864,0.6786,0.6940,0.5623
35,0.14457,0.14457,0.00000,0.00000,1.00,0.12739,0.6964,0.8211,0.8074,0.8352,9.58e-05,67,0.8145,0.6912,0.6870,0.6977,0.5721
36,0.14633,0.14633,0.00000,0.00000,1.00,0.12684,0.6989,0.8227,0.8199,0.8256,9.55e-05,67,0.8160,0.6922,0.6903,0.7030,0.5709
37,0.14221,0.14221,0.00000,0.00000,1.00,0.12615,0.7015,0.8246,0.8328,0.8165,9.51e-05,67,0.8197,0.6936,0.6920,0.7031,0.5763
38,0.14177,0.14177,0.00000,0.00000,1.00,0.12518,0.7007,0.8240,0.8115,0.8370,9.47e-05,67,0.8196,0.6943,0.6913,0.7031,0.5749
39,0.14106,0.14106,0.00000,0.00000,1.00,0.12326,0.7059,0.8276,0.8288,0.8263,9.44e-05,67,0.8208,0.7004,0.6949,0.7092,0.5824
40,0.14099,0.14099,0.00000,0.00000,1.00,0.12267,0.7065,0.8280,0.8174,0.8390,9.40e-05,67,0.8197,0.7006,0.6979,0.7102,0.5827
41,0.13786,0.13786,0.00000,0.00000,1.00,0.12226,0.7080,0.8290,0.8300,0.8281,9.36e-05,67,0.8213,0.7007,0.6986,0.7105,0.5878
42,0.13828,0.13828,0.00000,0.00000,1.00,0.12126,0.7098,0.8303,0.8292,0.8314,9.32e-05,68,0.8220,0.6999,0.7014,0.7135,0.5895
43,0.13569,0.13569,0.00000,0.00000,1.00,0.12069,0.7114,0.8314,0.8372,0.8257,9.27e-05,67,0.8231,0.7060,0.7027,0.7150,0.5888
44,0.13769,0.13769,0.00000,0.00000,1.00,0.12221,0.7087,0.8295,0.8403,0.8190,9.23e-05,67,0.8124,0.7003,0.7026,0.7161,0.5877
45,0.13611,0.13611,0.00000,0.00000,1.00,0.11969,0.7146,0.8336,0.8455,0.8219,9.19e-05,67,0.8292,0.7046,0.7055,0.7180,0.5919
46,0.13456,0.13456,0.00000,0.00000,1.00,0.11776,0.7169,0.8351,0.8303,0.8399,9.14e-05,67,0.8314,0.7100,0.7057,0.7211,0.5943
47,0.13397,0.13397,0.00000,0.00000,1.00,0.11787,0.7178,0.8357,0.8382,0.8333,9.09e-05,67,0.8290,0.7053,0.7106,0.7230,0.5965
48,0.13461,0.13461,0.00000,0.00000,1.00,0.11801,0.7154,0.8341,0.8197,0.8490,9.05e-05,67,0.8285,0.7102,0.7081,0.7201,0.5899
49,0.13188,0.13188,0.00000,0.00000,1.00,0.11732,0.7187,0.8363,0.8450,0.8279,9.00e-05,67,0.8263,0.7073,0.7107,0.7262,0.5999
50,0.13159,0.13159,0.00000,0.00000,1.00,0.11838,0.7163,0.8347,0.8466,0.8231,8.95e-05,67,0.8228,0.7131,0.7095,0.7205,0.5942
51,0.12999,0.12999,0.00000,0.00000,1.00,0.11635,0.7194,0.8368,0.8326,0.8411,8.90e-05,67,0.8242,0.7090,0.7128,0.7270,0.6013
52,0.12862,0.12862,0.00000,0.00000,1.00,0.11473,0.7237,0.8397,0.8410,0.8385,8.84e-05,67,0.8331,0.7108,0.7134,0.7310,0.6062
53,0.12795,0.12795,0.00000,0.00000,1.00,0.11429,0.7240,0.8399,0.8392,0.8406,8.79e-05,67,0.8338,0.7191,0.7135,0.7261,0.6069
54,0.12834,0.12834,0.00000,0.00000,1.00,0.11335,0.7262,0.8414,0.8415,0.8413,8.74e-05,67,0.8380,0.7155,0.7128,0.7312,0.6106
55,0.12723,0.12723,0.00000,0.00000,1.00,0.11231,0.7299,0.8439,0.8485,0.8393,8.68e-05,67,0.8433,0.7159,0.7192,0.7366,0.6094
56,0.12511,0.12511,0.00000,0.00000,1.00,0.11375,0.7245,0.8403,0.8349,0.8457,8.62e-05,67,0.8320,0.7144,0.7156,0.7323,0.6067
57,0.12539,0.12539,0.00000,0.00000,1.00,0.11088,0.7330,0.8460,0.8525,0.8395,8.57e-05,67,0.8419,0.7230,0.7228,0.7396,0.6135
58,0.12352,0.12352,0.00000,0.00000,1.00,0.10970,0.7342,0.8467,0.8450,0.8485,8.51e-05,67,0.8429,0.7249,0.7222,0.7410,0.6172
59,0.12483,0.12483,0.00000,0.00000,1.00,0.11102,0.7306,0.8443,0.8401,0.8486,8.45e-05,67,0.8386,0.7218,0.7212,0.7366,0.6113
60,0.12534,0.12534,0.00000,0.00000,1.00,0.11040,0.7321,0.8454,0.8477,0.8430,8.39e-05,67,0.8385,0.7285,0.7205,0.7389,0.6133
61,0.12260,0.12260,0.00000,0.00000,1.00,0.10853,0.7369,0.8486,0.8497,0.8474,8.33e-05,67,0.8466,0.7278,0.7252,0.7438,0.6178
62,0.12317,0.12317,0.00000,0.00000,1.00,0.10762,0.7391,0.8500,0.8526,0.8474,8.26e-05,67,0.8457,0.7301,0.7277,0.7478,0.6203
63,0.12126,0.12126,0.00000,0.00000,1.00,0.10826,0.7375,0.8489,0.8499,0.8479,8.20e-05,67,0.8465,0.7290,0.7265,0.7436,0.6183
64,0.12168,0.12168,0.00000,0.00000,1.00,0.10725,0.7382,0.8494,0.8379,0.8612,8.14e-05,67,0.8472,0.7266,0.7243,0.7482,0.6215
65,0.12046,0.12046,0.00000,0.00000,1.00,0.10704,0.7395,0.8502,0.8472,0.8533,8.07e-05,67,0.8469,0.7305,0.7272,0.7486,0.6216
66,0.12055,0.12055,0.00000,0.00000,1.00,0.10671,0.7418,0.8518,0.8628,0.8410,8.01e-05,67,0.8497,0.7328,0.7299,0.7498,0.6229
67,0.12105,0.12105,0.00000,0.00000,1.00,0.10527,0.7433,0.8528,0.8508,0.8547,7.94e-05,67,0.8516,0.7336,0.7320,0.7494,0.6272
68,0.12070,0.12070,0.00000,0.00000,1.00,0.10694,0.7392,0.8500,0.8426,0.8576,7.87e-05,67,0.8479,0.7303,0.7288,0.7489,0.6172
69,0.11993,0.11993,0.00000,0.00000,1.00,0.10497,0.7439,0.8532,0.8466,0.8598,7.81e-05,67,0.8520,0.7364,0.7331,0.7520,0.6236
70,0.11811,0.11811,0.00000,0.00000,1.00,0.10538,0.7439,0.8531,0.8580,0.8484,7.74e-05,67,0.8535,0.7341,0.7298,0.7527,0.6257
71,0.11810,0.11810,0.00000,0.00000,1.00,0.10385,0.7468,0.8551,0.8555,0.8546,7.67e-05,67,0.8544,0.7384,0.7332,0.7552,0.6300
72,0.11877,0.11877,0.00000,0.00000,1.00,0.10531,0.7441,0.8533,0.8578,0.8487,7.60e-05,67,0.8527,0.7328,0.7333,0.7527,0.6242
73,0.11682,0.11682,0.00000,0.00000,1.00,0.10364,0.7469,0.8551,0.8522,0.8580,7.53e-05,67,0.8519,0.7374,0.7358,0.7566,0.6294
74,0.11710,0.11710,0.00000,0.00000,1.00,0.10536,0.7435,0.8529,0.8538,0.8520,7.45e-05,67,0.8449,0.7310,0.7362,0.7557,0.6253
75,0.11605,0.11605,0.00000,0.00000,1.00,0.10350,0.7482,0.8560,0.8593,0.8526,7.38e-05,67,0.8581,0.7400,0.7371,0.7548,0.6269
76,0.11670,0.11670,0.00000,0.00000,1.00,0.10199,0.7502,0.8573,0.8548,0.8598,7.31e-05,67,0.8576,0.7407,0.7381,0.7601,0.6314
77,0.11480,0.11480,0.00000,0.00000,1.00,0.10255,0.7494,0.8567,0.8573,0.8561,7.24e-05,67,0.8560,0.7364,0.7393,0.7577,0.6334
78,0.11409,0.11409,0.00000,0.00000,1.00,0.10134,0.7524,0.8587,0.8601,0.8574,7.16e-05,67,0.8590,0.7412,0.7402,0.7620,0.6354
79,0.11491,0.11491,0.00000,0.00000,1.00,0.10234,0.7494,0.8567,0.8560,0.8574,7.09e-05,67,0.8532,0.7411,0.7400,0.7575,0.6323
80,0.11516,0.11516,0.00000,0.00000,1.00,0.10049,0.7547,0.8602,0.8630,0.8574,7.01e-05,67,0.8603,0.7434,0.7415,0.7649,0.6383
81,0.11364,0.11364,0.00000,0.00000,1.00,0.10213,0.7494,0.8567,0.8508,0.8627,6.94e-05,67,0.8562,0.7411,0.7368,0.7599,0.6309
82,0.11271,0.11271,0.00000,0.00000,1.00,0.10200,0.7507,0.8576,0.8576,0.8576,6.86e-05,67,0.8528,0.7415,0.7421,0.7622,0.6302
83,0.11261,0.11261,0.00000,0.00000,1.00,0.10173,0.7502,0.8573,0.8490,0.8657,6.78e-05,68,0.8554,0.7428,0.7390,0.7621,0.6296
84,0.11164,0.11164,0.00000,0.00000,1.00,0.09978,0.7565,0.8614,0.8675,0.8553,6.70e-05,67,0.8609,0.7467,0.7457,0.7661,0.6381
85,0.11215,0.11215,0.00000,0.00000,1.00,0.09999,0.7546,0.8602,0.8549,0.8655,6.63e-05,67,0.8603,0.7425,0.7412,0.7655,0.6392
86,0.11170,0.11170,0.00000,0.00000,1.00,0.10286,0.7498,0.8570,0.8618,0.8522,6.55e-05,67,0.8558,0.7450,0.7414,0.7612,0.6207
87,0.11190,0.11190,0.00000,0.00000,1.00,0.09972,0.7561,0.8611,0.8703,0.8522,6.47e-05,67,0.8626,0.7479,0.7446,0.7640,0.6387
88,0.11048,0.11048,0.00000,0.00000,1.00,0.09924,0.7579,0.8623,0.8708,0.8540,6.39e-05,68,0.8632,0.7487,0.7462,0.7687,0.6376
