epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,2.1147,1.9037,0.1005,0.1827,0.1021,0.8669,2.09e-05,70,0.1076,0.0907,0.1092,0.1117,0.0814
2,1.7357,1.6475,0.1850,0.3123,0.1886,0.9077,5.61e-05,69,0.2133,0.1673,0.2084,0.2109,0.1282
3,1.5857,1.5352,0.2262,0.3689,0.2310,0.9157,1.04e-04,70,0.2659,0.2072,0.2521,0.2567,0.1553
4,1.4665,1.4138,0.2857,0.4444,0.2922,0.9277,1.52e-04,70,0.3489,0.2602,0.3169,0.3279,0.1895
5,1.3533,1.3054,0.3356,0.5025,0.3432,0.9381,1.87e-04,70,0.4038,0.3065,0.3655,0.3767,0.2337
6,1.2598,1.2399,0.3272,0.4930,0.3337,0.9438,2.00e-04,70,0.4096,0.2962,0.3601,0.3723,0.2195
7,1.1733,1.1406,0.4006,0.5721,0.4102,0.9452,2.00e-04,70,0.4813,0.3825,0.4385,0.4452,0.2732
8,1.0963,1.0793,0.4135,0.5851,0.4230,0.9484,1.99e-04,70,0.5223,0.3801,0.4505,0.4676,0.2751
9,1.0320,1.0230,0.4107,0.5823,0.4184,0.9572,1.98e-04,70,0.5087,0.3664,0.4332,0.4652,0.2918
10,0.9717,0.9598,0.4588,0.6290,0.4694,0.9527,1.97e-04,70,0.5957,0.4293,0.4935,0.5238,0.2968
11,0.9177,0.9076,0.5055,0.6715,0.5200,0.9476,1.96e-04,70,0.6189,0.4797,0.5317,0.5560,0.3565
12,0.8692,0.8639,0.4898,0.6575,0.5016,0.9540,1.94e-04,70,0.6136,0.4608,0.5219,0.5499,0.3315
13,0.8247,0.8129,0.4882,0.6561,0.4973,0.9642,1.92e-04,70,0.6104,0.4579,0.5162,0.5437,0.3374
14,0.7835,0.7886,0.5256,0.6890,0.5400,0.9518,1.89e-04,70,0.6352,0.5131,0.5594,0.5711,0.3687
15,0.7476,0.7436,0.5699,0.7260,0.5879,0.9490,1.87e-04,70,0.6950,0.5521,0.5938,0.6195,0.4054
16,0.7118,0.7095,0.5294,0.6923,0.5403,0.9635,1.84e-04,70,0.6586,0.4965,0.5583,0.5860,0.3701
17,0.6812,0.6836,0.5517,0.7111,0.5647,0.9599,1.80e-04,70,0.6851,0.5152,0.5619,0.6087,0.4011
