epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage,val_iou_intersecting_conjugate
1,0.59274,0.59274,0.00000,0.00000,0.00,0.58788,0.0617,0.1163,0.0626,0.8179,1.09e-05,21,0.0486,0.0493,0.0552,0.0488,0.0298,0.1560
2,0.58447,0.58447,0.00000,0.00000,0.00,0.57938,0.1254,0.2229,0.1291,0.8159,2.08e-05,18,0.1023,0.1134,0.1150,0.1111,0.0586,0.2597
3,0.57817,0.57817,0.00000,0.00000,0.00,0.57443,0.1498,0.2606,0.1539,0.8476,3.07e-05,18,0.1268,0.1457,0.1405,0.1421,0.0646,0.2955
4,0.57455,0.57455,0.00000,0.00000,0.00,0.57096,0.1762,0.2996,0.1823,0.8395,4.06e-05,18,0.1632,0.1841,0.1713,0.1750,0.0690,0.3313
5,0.57150,0.57150,0.00000,0.00000,0.00,0.56892,0.1840,0.3108,0.1910,0.8334,5.05e-05,18,0.1728,0.1948,0.1906,0.1850,0.0673,0.3467
6,0.56907,0.56907,0.00000,0.00000,0.00,0.56648,0.1923,0.3226,0.1993,0.8455,6.04e-05,18,0.1805,0.2012,0.1960,0.1946,0.0701,0.3643
7,0.56679,0.56679,0.00000,0.00000,0.00,0.56414,0.1861,0.3137,0.1909,0.8810,7.03e-05,18,0.1698,0.1925,0.1850,0.1875,0.0674,0.3785
8,0.56486,0.56486,0.00000,0.00000,0.00,0.56215,0.1944,0.3256,0.2004,0.8675,8.02e-05,18,0.1829,0.1994,0.1997,0.1901,0.0679,0.4044
9,0.56230,0.56230,0.00000,0.00000,0.00,0.55936,0.1987,0.3315,0.2048,0.8705,9.01e-05,18,0.1863,0.2050,0.2030,0.1986,0.0665,0.4082
10,0.55964,0.55964,0.00000,0.00000,0.00,0.55586,0.2054,0.3408,0.2108,0.8893,1.00e-04,18,0.1989,0.2133,0.2119,0.2038,0.0723,0.4214
