M0 CompactMaxViT 9,489,043 parameters; global batch 8; start epoch 1
/hdd1/hukaixiao/projects/faultsyn3d/train/train_compact_maxvit_ddp.py:217: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  print(f'epoch={epoch:03d} step={step+1}/{len(dl)} loss={float(loss):.5f}',flush=True)
epoch=011 step=20/100 loss=0.31352
epoch=011 step=30/100 loss=0.24368
epoch=011 step=40/100 loss=0.32041
epoch=011 step=50/100 loss=0.31697
epoch=011 step=60/100 loss=0.30426
epoch=011 step=70/100 loss=0.27517
epoch=011 step=80/100 loss=0.28256
epoch=011 step=90/100 loss=0.27043
epoch=011 step=100/100 loss=0.29801
EPOCH 011/200: train=0.30068 val=0.26573 IoU=0.591410 P=0.6660 R=0.8408 83.3s peak=7814MiB
epoch=012 step=1/100 loss=0.29530
epoch=012 step=10/100 loss=0.29290
epoch=012 step=20/100 loss=0.25406
epoch=012 step=30/100 loss=0.27571
epoch=012 step=40/100 loss=0.33728
epoch=012 step=50/100 loss=0.32607
epoch=012 step=60/100 loss=0.28827
epoch=012 step=70/100 loss=0.28690
epoch=012 step=80/100 loss=0.29211
epoch=012 step=90/100 loss=0.29621
epoch=012 step=100/100 loss=0.22256
EPOCH 012/200: train=0.27702 val=0.24377 IoU=0.616796 P=0.7008 R=0.8373 83.2s peak=7814MiB
epoch=013 step=1/100 loss=0.23890
epoch=013 step=10/100 loss=0.28731
epoch=013 step=20/100 loss=0.22695
epoch=013 step=30/100 loss=0.23754
epoch=013 step=40/100 loss=0.28276
epoch=013 step=50/100 loss=0.27221
epoch=013 step=60/100 loss=0.22500
epoch=013 step=70/100 loss=0.21182
epoch=013 step=80/100 loss=0.24234
epoch=013 step=90/100 loss=0.25956
epoch=013 step=100/100 loss=0.24510
EPOCH 013/200: train=0.25424 val=0.22477 IoU=0.637210 P=0.7337 R=0.8289 83.4s peak=7814MiB
epoch=014 step=1/100 loss=0.25616
epoch=014 step=10/100 loss=0.22121
epoch=014 step=20/100 loss=0.23457
epoch=014 step=30/100 loss=0.28879
epoch=014 step=40/100 loss=0.19147
epoch=014 step=50/100 loss=0.23604
epoch=014 step=60/100 loss=0.20450
epoch=014 step=70/100 loss=0.16742
epoch=014 step=80/100 loss=0.20000
epoch=014 step=90/100 loss=0.28179
epoch=014 step=100/100 loss=0.17836
