epoch,train_loss,train_seg,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,updates,skipped_updates,amp_scale,peak_memory_mib,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
1,0.562715211212635,0.562715211212635,0.5507659816741943,0.09541834525178425,0.17421352429487044,0.09919075747330897,0.7150106802798452,1.0900000000000002e-05,97.24133586883545,100,0,1024.0,9756.6318359375,0.09505923208809812,0.08944721222605755,0.10322303699290684,0.1034283432298103,0.08393962810559609
2,0.5422846944630146,0.5422846944630146,0.517600654065609,0.17844015992057377,0.30284127440565256,0.18904180230451703,0.7608703793608513,2.0800000000000004e-05,82.62862849235535,200,0,1024.0,7814.3447265625,0.20237588787916816,0.16746499787293556,0.1927775433316848,0.1954922391100278,0.12958073199080983
3,0.5080317764729262,0.5080317764729262,0.4805577316880226,0.2544944557165102,0.4057322924893351,0.27950093325880665,0.739889538566092,3.07e-05,82.87983107566833,300,0,1024.0,7814.3447265625,0.28497143714068973,0.2510777527536234,0.2778138668325983,0.26812533844907416,0.18093703261700564
4,0.47730375073850156,0.47730375073850156,0.4559536170959473,0.2969998901285898,0.45797982311184937,0.32988662666610735,0.7486934473660637,4.0600000000000004e-05,83.19350051879883,400,0,1024.0,7814.3447265625,0.34302530565823147,0.2881746470647224,0.32385619018063855,0.31485816617834783,0.20458832750915473
5,0.4533134201914072,0.4533134201914072,0.4305327785015106,0.3412304368110835,0.5088319314053069,0.37601563008142874,0.7867158197778398,5.05e-05,83.29615139961243,500,0,1024.0,7814.3447265625,0.40501949214232064,0.3282988908214193,0.36793179312854907,0.3593739559086754,0.23659658181538198
6,0.4308409237116575,0.4308409237116575,0.4046521306037903,0.3871272445775514,0.5581712075671194,0.4240886133312008,0.8162384151784398,6.04e-05,83.51716160774231,600,0,1024.0,7814.3447265625,0.4631426032318989,0.3720998986879915,0.4078918531545631,0.40882851538603177,0.276294088721902
7,0.4065594106912613,0.4065594106912613,0.38154267877340314,0.45037604087436367,0.6210472707517329,0.51029622303844,0.7931971055213843,7.03e-05,83.28499126434326,700,0,1024.0,7814.3447265625,0.548770589760198,0.4308633237669532,0.46111147966154437,0.4704708984131378,0.32466148388318844
8,0.38228702776134016,0.38228702776134016,0.35116805344820023,0.4835605890368634,0.6518919316275366,0.5348396844285157,0.8345336501864368,8.020000000000001e-05,83.19333148002625,800,0,1024.0,7814.3447265625,0.5846860513990181,0.46052981575509394,0.4931163478168118,0.5053194612025352,0.3601018846988013
9,0.3545047668367624,0.3545047668367624,0.32187657967209815,0.5310498196060408,0.693706779238166,0.5955533443852504,0.8305980449141057,9.010000000000001e-05,83.26869869232178,900,0,1024.0,7814.3447265625,0.6489249467176886,0.5089483525289505,0.531530723813689,0.5529415916496508,0.39668195595611705
10,0.3265049520879984,0.3265049520879984,0.2978033897280693,0.5330010097815094,0.6953694177376638,0.589236580560099,0.8481348024028195,0.0001,83.34100151062012,1000,0,1024.0,7814.3447265625,0.6400821614555535,0.5168671563583028,0.5436138934003817,0.5513624221821982,0.4004199207115956
11,0.3006784645095468,0.3006784645095468,0.2657285557687283,0.591410324658226,0.743253095062379,0.6659740633965057,0.8408212353951238,9.999317208437383e-05,83.25103664398193,1100,0,1024.0,7814.3447265625,0.7111831406887645,0.5681335311395904,0.587822491006227,0.6128477500291691,0.4558070055919839
12,0.2770241189748049,0.2770241189748049,0.2437713024020195,0.6167958093596156,0.7629854132339909,0.7008017026565199,0.8372790671865121,9.997269020417926e-05,83.20226311683655,1200,0,1024.0,7814.3447265625,0.7446879130956972,0.5900135605625754,0.6059704824507007,0.6342943802625017,0.485416000311206
13,0.2542430679500103,0.2542430679500103,0.22476891338825225,0.6372099806947323,0.7784095970687146,0.7337257290601858,0.8288888983391826,9.993855995895783e-05,83.42158484458923,1300,0,1024.0,7814.3447265625,0.7659942458051481,0.6231670341694933,0.6276813095774478,0.652084804650486,0.49619499363360337
