epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_en_echelon,val_iou_horsetail,val_iou_negative_flower,val_iou_positive_flower,val_iou_listric_assemblage
48,0.4312,0.6091,0.5506,0.7102,0.5700,0.9419,2.34e-05,60,0.6775,0.5385,0.5801,0.5986,0.3812
49,0.4313,0.6206,0.5660,0.7229,0.5893,0.9348,1.98e-05,60,0.6867,0.5544,0.5919,0.6091,0.4020
50,0.4250,0.6056,0.5623,0.7199,0.5832,0.9403,1.64e-05,60,0.6825,0.5505,0.5909,0.6060,0.3978
51,0.4210,0.6256,0.5667,0.7234,0.5909,0.9325,1.34e-05,60,0.6896,0.5654,0.6000,0.6110,0.3911
52,0.4169,0.6047,0.5641,0.7213,0.5858,0.9384,1.06e-05,60,0.6853,0.5517,0.5952,0.6030,0.4012
53,0.4186,0.6300,0.5630,0.7204,0.5866,0.9331,8.16e-06,60,0.6866,0.5566,0.5929,0.6078,0.3908
54,0.4152,0.6307,0.5598,0.7178,0.5828,0.9341,6.01e-06,60,0.6820,0.5524,0.5897,0.6050,0.3898
55,0.4125,0.6054,0.5605,0.7183,0.5814,0.9397,4.19e-06,60,0.6852,0.5556,0.5936,0.6056,0.3869
56,0.4136,0.6122,0.5701,0.7262,0.5931,0.9363,2.68e-06,60,0.6903,0.5651,0.5982,0.6125,0.4018
57,0.4113,0.6118,0.5612,0.7189,0.5830,0.9375,1.51e-06,60,0.6862,0.5579,0.5920,0.6013,0.3909
58,0.4084,0.6098,0.5676,0.7242,0.5900,0.9374,6.70e-07,60,0.6902,0.5603,0.5963,0.6102,0.3996
59,0.4116,0.6131,0.5678,0.7243,0.5899,0.9382,1.67e-07,60,0.6894,0.5589,0.5953,0.6119,0.4003
60,0.4112,0.6239,0.5640,0.7213,0.5867,0.9360,8.00e-10,60,0.6878,0.5562,0.5934,0.6110,0.3918
