epoch,train_loss,train_seg,train_profile,train_trace,ramp,val_loss,val_iou,val_dice,val_precision,val_recall,lr,seconds,val_iou_fault_none,val_iou_fault_sparse,val_iou_fault_dense
1,0.57274,0.57274,0.00000,0.00000,0.00,0.56633,0.0946,0.1728,0.0994,0.6598,1.09e-05,104,0.0010,0.0397,0.2113
2,0.56284,0.56284,0.00000,0.00000,0.00,0.56005,0.1124,0.2020,0.1183,0.6924,2.08e-05,98,0.0012,0.0476,0.2319
3,0.55413,0.55413,0.00000,0.00000,0.00,0.55258,0.1429,0.2500,0.1508,0.7321,3.07e-05,98,0.0017,0.0621,0.2563
4,0.55039,0.55039,0.00000,0.00000,0.00,0.54761,0.2075,0.3437,0.2311,0.6703,4.06e-05,98,0.0032,0.1034,0.2912
5,0.54137,0.54137,0.00000,0.00000,0.00,0.54249,0.1679,0.2876,0.1792,0.7276,5.05e-05,98,0.0020,0.0763,0.2791
