epoch,loss,seg,profile,trace,valid_profiles,valid_windows,aux_ramp,val_iou,val_dice,val_precision,val_recall,old_lr,seconds,updates,peak_memory_mib,max_rank_parameter_difference
1,0.07557650217786431,0.07557650217786431,0.0,0.0,1024.0,0.0,0,0.8198048085890374,0.9009810334820059,0.9101394540783855,0.8920050927327593,5e-06,61.55352854728699,100,9492.2041015625,0.0
2,0.07749832473695278,0.07749832473695278,0.0,0.0,1024.0,0.0,0.0,0.8185766042011717,0.9002387936918828,0.9082990463410258,0.8923203362377896,9.932488451843475e-06,51.867541551589966,200,7762.90380859375,0.0
3,0.07602156515233219,0.07602156515233219,0.0,0.0,1024.0,0.0,0.25,0.8195780119524394,0.9008440490803883,0.904464817121604,0.8972521548841549,9.73179534641814e-06,52.38759422302246,300,7762.90380859375,0.0
4,0.0757325156405568,0.0757325156405568,0.0,0.0,1024.0,0.0,0.5,0.8188828455213716,0.9004239580770182,0.9048329615549833,0.89605771397976,9.403395068472121e-06,52.31411051750183,400,7762.90380859375,0.0
5,0.07704516469035297,0.07704516469035297,0.0,0.0,1024.0,0.0,0.75,0.8200572528698497,0.9011334688255447,0.9046438191191815,0.8976502561250592,8.956245521512148e-06,52.2341730594635,500,7762.90380859375,0.0
6,0.0767887058807537,0.0767887058807537,0.0,0.0,1024.0,0.0,1.0,0.8195630263152903,0.9008349966034955,0.9129466879869452,0.8890404594049909,8.402543779547419e-06,52.877108335494995,600,7762.90380859375,0.0
7,0.07608535159844905,0.07608535159844905,0.0,0.0,1024.0,0.0,1,0.8191996399768952,0.9006154376627948,0.9073485995679326,0.8939814692240442,7.757393382706015e-06,54.526946783065796,700,7762.90380859375,0.0
8,0.07685422071255743,0.07685422071255743,0.0,0.0,1024.0,0.0,1,0.819540011299137,0.90082109347405,0.9109460342752626,0.8909187509937098,7.0383923520322e-06,52.12782120704651,800,7762.90380859375,0.0
9,0.0768130913330242,0.0768130913330242,0.0,0.0,1024.0,0.0,1,0.8204056383927942,0.9013437676639111,0.9087733335527239,0.8940346957166254,6.265153161346956e-06,51.9915874004364,900,7762.90380859375,0.0
10,0.07743223995901644,0.07743223995901644,0.0,0.0,1024.0,0.0,1,0.819221780491393,0.9006288175267028,0.9083692985297119,0.8930191397254419,5.458767760088047e-06,52.046857833862305,1000,7762.90380859375,0.0
11,0.07615880671422928,0.07615880671422928,0.0,0.0,1024.0,0.0,1,0.8200271154918024,0.9011152729669273,0.9076252992543464,0.8946979691486628,4.641232239911956e-06,52.234424114227295,1100,7762.90380859375,0.0
12,0.0751800867728889,0.0751800867728889,0.0,0.0,1024.0,0.0,1,0.8205075820458807,0.9014052895333694,0.9098817951440077,0.8930852612961228,3.8348468386530454e-06,52.24348044395447,1200,7762.90380859375,0.0
13,0.07648477219045162,0.07648477219045162,0.0,0.0,1024.0,0.0,1,0.8204545034509629,0.9013732580469987,0.9076134380150347,0.8952182992681494,3.061607647967802e-06,52.33669328689575,1300,7762.90380859375,0.0
14,0.07660000415984541,0.07660000415984541,0.0,0.0,1024.0,0.0,1,0.820581661685233,0.9014499914556499,0.910077594594145,0.8929844327599185,2.3426066172939865e-06,55.17364239692688,1399,7762.90380859375,0.0
15,0.0758384048845619,0.0758384048845619,0.0,0.0,1024.0,0.0,1,0.8197494182272254,0.9009475810420249,0.9072615589548358,0.8947208784895418,1.6974562204525829e-06,55.315836668014526,1499,7762.90380859375,0.0
16,0.07437809826806188,0.07437809826806188,0.0,0.0,1024.0,0.0,1,0.8207410889055303,0.901546182383227,0.9092468221395769,0.8939748845033124,1.1437544784878524e-06,54.557430028915405,1599,7762.90380859375,0.0
17,0.0765589556004852,0.0765589556004852,0.0,0.0,1024.0,0.0,1,0.8202989228828249,0.9012793586491933,0.9095227704880752,0.8931840321070983,6.966049315278797e-07,54.63805675506592,1699,7762.90380859375,0.0
18,0.07587767714168876,0.07587767714168876,0.0,0.0,1024.0,0.0,1,0.8212561165325645,0.9018568108873448,0.9093804245315255,0.8944566665701822,3.68204653581858e-07,54.48490238189697,1799,7762.90380859375,0.0
19,0.07526615270413459,0.07526615270413459,0.0,0.0,1024.0,0.0,1,0.8210933779548408,0.9017586773907891,0.9085965538471651,0.8950229525531088,1.6751154815652454e-07,54.48628306388855,1899,7762.90380859375,0.0
20,0.07560458204708993,0.07560458204708993,0.0,0.0,1024.0,0.0,1,0.8204113486732965,0.9013472139373409,0.9090062500444698,0.893816165297342,1.0000000000000001e-07,54.48873519897461,1999,7762.90380859375,0.0
